sales_id,shop_id,week_no,start_date,end_date,sales_amount,sales_target,item_sold,transactions,staff_hours,staff_hours_target,labour_cost,labour_cost_target,total_tax,sales_status
49,20,35,2013-08-19,2013-08-25,17312.10,161000.00,2835.00,1651,00:00:00,00:00:00,0,28700.00,2178.00,1
50,20,36,2013-08-26,2013-09-01,17657.60,161000.00,2864.00,1605,00:00:00,00:00:00,0,28700.00,2240.52,1
51,20,37,2013-09-02,2013-09-08,20697.76,161000.00,3386.00,1981,00:00:00,00:00:00,0,28700.00,2628.42,1
52,20,38,2013-09-09,2013-09-15,22625.50,161000.00,3690.00,2131,00:00:00,00:00:00,0,28700.00,2876.05,1
53,20,39,2013-09-16,2013-09-22,24433.90,161000.00,4005.00,2245,00:00:00,00:00:00,0,28700.00,3105.15,1
54,20,40,2013-09-23,2013-09-29,22327.40,161000.00,3725.00,2176,00:00:00,00:00:00,0,28700.00,2824.06,1
55,20,41,2013-09-30,2013-10-06,22973.90,161000.00,3772.00,2101,00:00:00,00:00:00,0,28700.00,2919.67,1
56,20,42,2013-10-07,2013-10-13,23602.40,161000.00,3998.00,2187,00:00:00,00:00:00,0,28700.00,3005.67,1
57,20,43,2013-10-14,2013-10-20,24433.50,161000.00,3987.00,2253,00:00:00,00:00:00,0,28700.00,3093.56,1
58,20,44,2013-10-21,2013-10-27,22780.70,161000.00,3825.00,2164,00:00:00,00:00:00,0,28700.00,2899.25,1
59,20,45,2013-10-28,2013-11-03,19473.20,161000.00,3215.00,1856,00:00:00,00:00:00,0,28700.00,2456.52,1
60,20,46,2013-11-04,2013-11-10,24521.30,161000.00,4094.00,2244,00:00:00,00:00:00,0,28700.00,3105.29,1
61,20,47,2013-11-11,2013-11-17,25557.30,161000.00,4268.00,2383,00:00:00,00:00:00,0,28700.00,3243.18,1
67,17,48,2013-11-18,2013-11-24,15344.10,91000.00,2787.00,1712,79:09:24,838:59:59,1137,21000.00,1918.34,1
68,17,49,2013-11-25,2013-12-01,15105.90,91000.00,2762.00,1654,78:33:33,838:59:59,1130,21000.00,1877.23,1
69,17,50,2013-12-02,2013-12-08,13473.70,91000.00,2512.00,1502,87:48:43,838:59:59,1261,21000.00,1682.97,1
70,17,51,2013-12-09,2013-12-15,14927.10,91000.00,2749.00,1604,79:21:48,838:59:59,1138,21000.00,1862.55,1
72,20,48,2013-11-18,2013-11-24,25618.30,161000.00,4365.00,2426,00:00:00,00:00:00,0,28700.00,3248.36,1
73,20,49,2013-11-25,2013-12-01,26993.20,161000.00,4669.00,2543,00:00:00,00:00:00,0,28700.00,3419.64,1
74,20,50,2013-12-02,2013-12-08,25565.10,161000.00,4393.00,2361,00:00:00,00:00:00,0,28700.00,3248.50,1
75,20,51,2013-12-09,2013-12-15,28193.00,161000.00,4841.00,2577,00:00:00,00:00:00,0,28700.00,3561.19,1
929,17,52,2013-12-16,2013-12-22,15545.21,91000.00,2865.00,1663,88:21:54,838:59:59,1265,21000.00,1966.04,1
931,20,52,2013-12-16,2013-12-22,28588.50,161000.00,4804.00,2546,00:00:00,00:00:00,0,28700.00,3626.78,1
2947,17,53,2013-12-23,2013-12-29,7768.40,91000.00,1413.00,804,17:10:26,838:59:59,247,21000.00,971.94,1
2949,20,53,2013-12-23,2013-12-29,13660.00,161000.00,2313.00,1189,00:00:00,00:00:00,0,28700.00,1734.22,1
4965,17,NULL,2013-12-30,2014-01-05,7298.40,15000.00,1261.00,753,17:02:10,00:02:00,245,2800.00,928.42,1
4967,20,NULL,2013-12-30,2014-01-05,13719.60,25000.00,2313.00,1192,00:00:00,00:00:00,0,4500.00,1742.35,1
6983,17,3,2014-01-06,2014-01-12,12318.20,15000.00,2270.00,1347,77:44:52,00:12:00,1118,2800.00,1541.48,1
6985,20,3,2014-01-06,2014-01-12,19617.35,25000.00,3438.00,1832,00:00:00,00:00:00,0,4500.00,2469.26,1
9001,17,4,2014-01-13,2014-01-19,11282.10,15000.00,2094.00,1240,181:18:32,00:12:00,2677,2800.00,1391.88,1
9003,20,4,2014-01-13,2014-01-19,21662.90,25000.00,3778.00,1998,00:00:00,00:00:00,0,4500.00,2761.24,1
11019,17,5,2014-01-20,2014-01-26,12314.70,15000.00,2285.00,1352,174:15:50,00:12:00,2587,2800.00,1520.94,1
11021,20,5,2014-01-20,2014-01-26,20990.10,25000.00,3680.00,1935,00:00:00,00:00:00,0,4500.00,2664.89,1
13037,17,6,2014-01-27,2014-02-02,12098.60,15000.00,2174.00,1301,161:55:20,00:12:00,2404,2800.00,1519.65,1
13039,20,6,2014-01-27,2014-02-02,23365.00,25000.00,4028.00,2086,00:00:00,00:00:00,0,4500.00,2964.73,1
15049,17,7,2014-02-03,2014-02-09,12870.60,78000.00,2295.00,1357,116:23:14,00:12:00,1716,18000.00,1620.53,1
15051,20,7,2014-02-03,2014-02-09,20575.10,138000.00,3614.00,1920,00:00:00,00:00:00,0,24600.00,2605.74,1
17067,17,8,2014-02-10,2014-02-16,14908.80,78000.00,2680.00,1586,147:17:55,00:12:00,2213,18000.00,1877.34,1
17069,20,8,2014-02-10,2014-02-16,22537.60,138000.00,3885.00,2196,00:00:00,00:00:00,0,24600.00,2858.57,1
19085,17,9,2014-02-17,2014-02-23,15411.10,78000.00,2813.00,1673,192:37:50,00:12:00,2880,18000.00,1936.87,1
19087,20,9,2014-02-17,2014-02-23,23595.50,138000.00,4097.00,2292,00:00:00,00:00:00,0,24600.00,2986.12,1
21103,17,10,2014-02-24,2014-03-02,14077.00,78000.00,2543.00,1540,131:00:23,00:12:00,1939,18000.00,1757.67,1
21105,20,10,2014-02-24,2014-03-02,22923.30,138000.00,3999.00,2235,00:00:00,00:00:00,0,24600.00,2888.15,1
23121,17,11,2014-03-03,2014-03-09,13003.70,78000.00,2419.00,1445,130:02:59,00:12:00,1939,18000.00,1625.63,1
23123,20,11,2014-03-03,2014-03-09,22281.20,138000.00,3906.00,2201,00:00:00,00:00:00,0,24600.00,2825.19,1
25139,17,12,2014-03-10,2014-03-16,14757.10,78000.00,2715.00,1597,149:17:36,00:12:00,2212,18000.00,1846.98,1
25141,20,12,2014-03-10,2014-03-16,22456.00,138000.00,3953.00,2182,00:00:00,00:00:00,0,24600.00,2831.54,1
27157,17,13,2014-03-17,2014-03-23,14617.60,78000.00,2623.00,1573,117:39:49,00:12:00,1739,18000.00,1826.12,1
27159,20,13,2014-03-17,2014-03-23,22092.90,138000.00,3835.00,2123,00:00:00,00:00:00,0,24600.00,2798.07,1
29175,17,14,2014-03-24,2014-03-30,14463.00,78000.00,2636.00,1560,162:56:23,00:12:00,2457,18000.00,1795.85,1
29177,20,14,2014-03-24,2014-03-30,21500.00,138000.00,3738.00,2091,00:00:00,00:00:00,0,24600.00,2723.16,1
35493,17,15,2014-03-31,2014-04-06,16015.50,91000.00,2949.00,1694,123:10:21,00:14:00,1836,21000.00,1993.72,1
35494,17,16,2014-04-07,2014-04-13,14153.20,91000.00,2586.00,1512,211:51:17,00:14:00,3048,21000.00,1780.22,1
35495,17,17,2014-04-14,2014-04-20,13046.00,91000.00,2413.00,1396,112:57:52,00:14:00,1673,21000.00,1652.73,1
35497,20,15,2014-03-31,2014-04-06,25318.20,161000.00,4342.00,2322,00:00:00,00:00:00,0,28700.00,3187.26,1
35498,20,16,2014-04-07,2014-04-13,23517.10,161000.00,4087.00,2233,00:00:00,00:00:00,0,28700.00,2980.54,1
35499,20,17,2014-04-14,2014-04-20,20814.00,161000.00,3685.00,1933,00:00:00,00:00:00,0,28700.00,2647.04,1
36398,25,18,2014-04-21,2014-04-27,0.00,0.00,0.00,0,00:00:00,00:00:00,0,0.00,0.00,0
36399,26,18,2014-04-21,2014-04-27,0.00,0.00,0.00,0,00:00:00,00:00:00,0,0.00,0.00,0
37737,17,18,2014-04-21,2014-04-27,12946.60,91000.00,2335.00,1356,64:08:47,00:14:00,954,21000.00,1636.77,1
37739,20,18,2014-04-21,2014-04-27,21631.90,161000.00,3799.00,1926,00:00:00,00:00:00,0,28700.00,2755.02,1
37741,27,18,2014-04-21,2014-04-27,25.90,28000.00,3.00,2,00:03:54,00:06:00,13,4100.00,3.38,1
41096,17,19,2014-04-28,2014-05-04,16975.30,99000.00,3075.00,1784,86:28:51,00:06:00,1290,20200.00,2132.32,1
41098,20,19,2014-04-28,2014-05-04,26364.60,169000.00,4639.00,2368,00:00:00,00:12:00,0,30300.00,3348.76,1
41100,27,19,2014-04-28,2014-05-04,16941.11,28000.00,2645.00,1237,00:00:00,00:06:00,0,4100.00,2144.54,1
41102,28,19,2014-04-28,2014-05-04,6.00,17000.00,1.00,1,00:00:00,00:00:00,0,3100.00,0.78,1
46012,17,20,2014-05-05,2014-05-11,17075.90,105000.00,3130.00,1839,56:23:03,00:00:00,818,19600.00,2150.11,1
46014,20,20,2014-05-05,2014-05-11,24965.90,175000.00,4369.00,2363,00:00:00,00:21:00,0,31500.00,3163.10,1
46016,27,20,2014-05-05,2014-05-11,26425.90,28000.00,4280.00,2114,00:00:00,00:00:00,0,4100.00,3307.66,1
46018,28,20,2014-05-05,2014-05-11,10332.10,17000.00,1668.00,886,00:00:00,00:08:00,0,3100.00,1302.69,1
46020,30,20,2014-05-05,2014-05-11,7.50,30000.00,1.00,1,00:00:00,00:08:00,0,5200.00,0.00,1
46022,31,20,2014-05-05,2014-05-11,7.50,24000.00,1.00,1,00:00:00,00:08:00,0,4200.00,0.00,1
52064,17,21,2014-05-12,2014-05-18,15821.00,105000.00,2904.00,1712,74:38:13,00:00:00,1082,19600.00,1974.17,1
52066,20,21,2014-05-12,2014-05-18,24771.60,175000.00,4294.00,2294,00:00:00,00:21:00,0,31500.00,3141.38,1
52068,27,21,2014-05-12,2014-05-18,27672.50,28000.00,4527.00,2239,00:00:00,00:00:00,0,4100.00,3465.06,1
52070,28,21,2014-05-12,2014-05-18,15096.40,17000.00,2472.00,1407,00:00:00,00:14:00,0,3100.00,1886.14,1
52072,30,21,2014-05-12,2014-05-18,8513.20,30000.00,1360.00,673,00:00:00,00:14:00,0,5200.00,1077.05,1
52074,31,21,2014-05-12,2014-05-18,0.00,24000.00,0.00,0,00:00:00,00:14:00,0,4200.00,0.00,1
58118,17,22,2014-05-19,2014-05-25,15092.70,105000.00,2802.00,1643,103:00:59,00:00:00,1494,19600.00,1886.97,1
58120,20,22,2014-05-19,2014-05-25,24071.70,175000.00,4221.00,2244,00:00:00,00:21:00,0,31500.00,3055.39,1
58122,27,22,2014-05-19,2014-05-25,28106.00,28000.00,4640.00,2240,00:00:00,00:00:00,0,4100.00,3540.09,1
58124,28,22,2014-05-19,2014-05-25,16313.70,17000.00,2615.00,1479,00:00:00,00:14:00,0,3100.00,2041.17,1
58126,30,22,2014-05-19,2014-05-25,22234.40,30000.00,3620.00,1853,00:00:00,00:14:00,0,5200.00,2822.23,1
58128,31,22,2014-05-19,2014-05-25,0.00,24000.00,0.00,0,00:00:00,00:14:00,0,4200.00,0.00,1
64172,17,23,2014-05-26,2014-06-01,14342.60,105000.00,2670.00,1529,64:37:28,00:00:00,928,19600.00,1778.04,1
64174,20,23,2014-05-26,2014-06-01,23134.70,175000.00,4209.00,2235,00:00:00,00:21:00,0,31500.00,2910.80,1
64176,27,23,2014-05-26,2014-06-01,24639.75,28000.00,4065.00,1963,00:00:00,00:00:00,0,4100.00,3084.69,1
64178,28,23,2014-05-26,2014-06-01,15307.40,17000.00,2486.00,1388,00:00:00,00:14:00,0,3100.00,1907.80,1
64180,30,23,2014-05-26,2014-06-01,29202.10,30000.00,4664.00,2406,00:00:00,00:14:00,0,5200.00,3708.83,1
64182,31,23,2014-05-26,2014-06-01,612.70,24000.00,101.00,54,00:00:00,00:14:00,0,4200.00,78.51,1
70226,17,24,2014-06-02,2014-06-08,13751.70,105000.00,2554.00,1464,94:35:48,00:00:00,1359,19600.00,1722.42,1
70228,20,24,2014-06-02,2014-06-08,23247.40,175000.00,4101.00,2166,00:00:00,00:21:00,0,31500.00,2955.64,1
70230,27,24,2014-06-02,2014-06-08,27547.60,28000.00,4496.00,2152,00:00:00,00:00:00,0,4100.00,3491.41,1
70232,28,24,2014-06-02,2014-06-08,14777.90,17000.00,2393.00,1331,00:00:00,00:14:00,0,3100.00,1853.33,1
70234,30,24,2014-06-02,2014-06-08,28007.80,30000.00,4405.00,2271,00:00:00,00:14:00,0,5200.00,3561.87,1
70236,31,24,2014-06-02,2014-06-08,10867.47,24000.00,1785.00,922,00:00:00,00:14:00,0,4200.00,1367.88,1
76280,17,25,2014-06-09,2014-06-15,13039.60,90000.00,2417.00,1407,99:45:20,00:00:00,1434,16800.00,1616.16,1
76282,20,25,2014-06-09,2014-06-15,20468.00,150000.00,3669.00,1999,00:00:00,00:18:00,0,27000.00,2595.45,1
76284,27,25,2014-06-09,2014-06-15,24692.90,28000.00,4087.00,1994,00:00:00,00:00:00,0,4100.00,3108.43,1
